config_key,config_label,model_name,ranking_mode,target_mode,true_position,target_candidate_rank,positive_candidate_rank,top_candidate_rank,top_score,target_score,prompt_token_count,IG:instruction,IG:history,IG:candidates,IG:question,IG:continuation,IG:other,ROLL:instruction,ROLL:history,ROLL:candidates,ROLL:question,ROLL:continuation,ROLL:other,ALTI:instruction,ALTI:history,ALTI:candidates,ALTI:question,ALTI:continuation,ALTI:other,CAM:instruction,CAM:history,CAM:candidates,CAM:question,CAM:continuation,CAM:other
base,Base,unsloth/Llama-3.2-1B-Instruct,text,ground_truth,5.2,5.05,5.05,1.0,0.2,-0.7187500059604645,418.95,5.086867145035394,41.87421499067058,37.706196312297905,15.332721551996121,0.0,0.0,0.048818670413337026,99.80396670448577,0.09456011296908973,0.05265451213179245,0.0,0.0,17.027489586219758,21.198505099581656,30.437316300050533,31.336689014148057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,Base,unsloth/Llama-3.2-1B-Instruct,text,model_choice,5.2,1.0,5.05,1.0,0.2,0.2,418.95,5.406104810162993,41.813566968060194,36.55153530194088,16.228792919835932,0.0,0.0,0.048818670413337026,99.80396670448577,0.09456011296908973,0.05265451213179245,0.0,0.0,17.027489586219758,21.198505099581656,30.437316300050533,31.336689014148057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_sas,Base + SAS,unsloth/Llama-3.2-1B-Instruct,candidates,ground_truth,5.2,3.95,3.95,1.0,0.7687500059604645,-1.3062500059604645,309.9,5.0087261271993,40.90513259160249,33.54180614718963,20.54433513400858,0.0,0.0,0.1137229232739932,99.66045916042079,0.21015877611050165,0.01565914019472348,0.0,0.0,4.996917418568986,4.300170980054558,90.06399915615516,0.6389124452212968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_sas,Base + SAS,unsloth/Llama-3.2-1B-Instruct,candidates,model_choice,5.2,1.0,3.95,1.0,0.7687500059604645,0.7687500059604645,309.9,5.116860860709511,40.09254527094735,36.948754560562975,17.84183930778017,0.0,0.0,0.1137229232739932,99.66045916042079,0.21015877611050165,0.01565914019472348,0.0,0.0,4.996917418568986,4.300170980054558,90.06399915615516,0.6389124452212968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lora,LoRA,/content/drive/MyDrive/project-ADI/llama31-1b-movielens-ranking-lora,text,ground_truth,5.2,3.05,3.05,1.0,1.0187500029802323,-1.2187499672174453,418.95,3.7731534223073426,42.35494401492361,44.21639211163249,9.655510451136555,0.0,0.0,0.04575076547719319,99.82855209102415,0.10023318304036946,0.02546396045828835,0.0,0.0,21.751061061844034,29.09716887279763,38.94908921178229,10.202680853576055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lora,LoRA,/content/drive/MyDrive/project-ADI/llama31-1b-movielens-ranking-lora,text,model_choice,5.2,1.0,3.05,1.0,1.0187500029802323,1.0187500029802323,418.95,3.4147958237832334,41.55639150256596,45.89055510622194,9.13825756742887,0.0,0.0,0.04575076547719319,99.82855209102415,0.10023318304036946,0.02546396045828835,0.0,0.0,21.751061061844034,29.09716887279763,38.94908921178229,10.202680853576055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lora_sas,LoRA + SAS,/content/drive/MyDrive/project-ADI/llama31-1b-movielens-ranking-lora,candidates,ground_truth,5.2,3.9,3.9,1.0,0.7,-1.074999988079071,309.9,4.904710207009336,43.5285027331533,31.29680647657245,20.269980583264914,0.0,0.0,0.10330403264643026,99.67936952970562,0.19940703765502402,0.017919399992914208,0.0,0.0,5.002849107002071,5.2818542077797535,88.75514388259963,0.960152802618549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lora_sas,LoRA + SAS,/content/drive/MyDrive/project-ADI/llama31-1b-movielens-ranking-lora,candidates,model_choice,5.2,1.0,3.9,1.0,0.7,0.7,309.9,4.742161247839418,43.732708814890124,32.090858388635496,19.43427154863497,0.0,0.0,0.10330403264643026,99.67936952970562,0.19940703765502402,0.017919399992914208,0.0,0.0,5.002849107002071,5.2818542077797535,88.75514388259963,0.960152802618549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
